cement,slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,compressive_strength,water_cement_ratio,water_binder_ratio,slag_replacement_ratio,fly_ash_replacement_ratio,aggregate_paste_ratio,fine_to_coarse_ratio,total_binder,supplementary_replacement_ratio,superplasticizer_binder_ratio,paste_volume_proxy,log_age,cement_age_interaction,binder_age_interaction,water_binder_age
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99,0.3,0.3,0.0,0.0,2.4444444444444446,0.65,540.0,0.0,0.004629629629629629,704.5,3.367295829986474,1818.339748192696,1818.339748192696,0.08909226131201102
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,0.3,0.3,0.0,0.0,2.465811965811966,0.6407582938388625,540.0,0.0,0.004629629629629629,704.5,3.367295829986474,1818.339748192696,1818.339748192696,0.08909226131201102
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27,0.6857142857142857,0.48,0.3,0.0,2.170697012802276,0.6373390557939914,475.0,0.3,0.0,703.0,5.602118820879701,1862.7045079425006,2661.006439917858,0.08568186704840822
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,0.6857142857142857,0.48,0.3,0.0,2.170697012802276,0.6373390557939914,475.0,0.3,0.0,703.0,5.902633333401366,1962.6255833559542,2803.7508333656488,0.08131963699723868
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3,0.9667673716012085,0.5800604229607251,0.4,0.0,3.4491395793499047,0.8437244480784956,331.0,0.4,0.0,523.0,5.8888779583328805,1169.53116252491,1949.2186042081835,0.09850100937139103
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03,0.8571428571428571,0.6,0.3,0.0,2.6348684210526314,0.7188841201716738,380.0,0.3,0.0,608.0,4.51085950651685,1199.888628733482,1714.126612476403,0.13301234479441856
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7,0.6,0.48,0.2,0.0,2.170697012802276,0.6373390557939914,475.0,0.2,0.0,703.0,5.902633333401366,2243.000666692519,2803.7508333656488,0.08131963699723868
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45,0.6,0.48,0.2,0.0,2.170697012802276,0.6373390557939914,475.0,0.2,0.0,703.0,3.367295829986474,1279.5724153948602,1599.4655192435753,0.14254761809921762
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,0.8571428571428571,0.6,0.3,0.0,2.6348684210526314,0.7188841201716738,380.0,0.3,0.0,608.0,3.367295829986474,895.7006907764021,1279.5724153948602,0.17818452262402204
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,0.48,0.48,0.0,0.0,2.170697012802276,0.6373390557939914,475.0,0.0,0.0,703.0,3.367295829986474,1599.4655192435753,1599.4655192435753,0.14254761809921762
