AutoCivil-Lab Research Log
[2026-03-12 14:39] Baseline | Model: RandomForestRegressor | RMSE: 4.17 | R2: 0.93 | Composite: 0.904 | Validation: WARN | Threshold established
[2026-03-12 14:39] Trial 001 | Model: SVR | C=37.29 epsilon=0.00297 kernel=poly gamma=scale | RMSE: 6.51 | R2: 0.83 | Composite: 0.832 | Validation: FAIL | Rejected
[2026-03-12 14:40] Trial 002 | Model: GradientBoosting | n_estimators=500 learning_rate=0.01324 max_depth=4 min_samples_split=7 min_samples_leaf=6 subsample=0.8176 | RMSE: 4.16 | R2: 0.93 | Composite: 0.904 | Validation: WARN | No improvement
[2026-03-12 14:40] Trial 003 | Model: XGBoost | n_estimators=400 learning_rate=0.07911 max_depth=5 min_child_weight=6.056 subsample=0.6757 colsample_bytree=0.601 reg_alpha=1.111e-06 | RMSE: 3.60 | R2: 0.95 | Composite: 0.921 | Validation: WARN | New best
[2026-03-12 14:40] Trial 004 | Model: XGBoost | n_estimators=400 learning_rate=0.07106 max_depth=3 min_child_weight=8.311 subsample=0.7676 colsample_bytree=0.8623 reg_alpha=0.5786 | RMSE: 3.85 | R2: 0.94 | Composite: 0.913 | Validation: WARN | No improvement
[2026-03-12 14:40] Trial 005 | Model: XGBoost | n_estimators=450 learning_rate=0.05414 max_depth=4 min_child_weight=2.248 subsample=0.8844 colsample_bytree=0.7502 reg_alpha=3.64 | RMSE: 3.73 | R2: 0.94 | Composite: 0.917 | Validation: WARN | No improvement
[2026-03-12 14:40] Trial 006 | Model: GradientBoosting | n_estimators=450 learning_rate=0.05312 max_depth=2 min_samples_split=8 min_samples_leaf=4 subsample=0.6067 | RMSE: 4.25 | R2: 0.93 | Composite: 0.901 | Validation: WARN | No improvement
[2026-03-12 14:40] Trial 007 | Model: Ridge | alpha=2.982 fit_intercept=True solver=cholesky | RMSE: 6.57 | R2: 0.83 | Composite: 0.828 | Validation: FAIL | Rejected
[2026-03-12 14:40] Trial 008 | Model: Ridge | alpha=53.94 fit_intercept=False solver=cholesky | RMSE: 36.03 | R2: -4.13 | Composite: -1.249 | Validation: FAIL | Rejected
[2026-03-12 14:40] Trial 009 | Model: RandomForest | n_estimators=250 max_depth=None min_samples_split=2 min_samples_leaf=3 max_features=log2 | RMSE: 4.58 | R2: 0.92 | Composite: 0.892 | Validation: WARN | No improvement
[2026-03-12 14:41] Trial 010 | Model: GradientBoosting | n_estimators=300 learning_rate=0.02541 max_depth=2 min_samples_split=3 min_samples_leaf=1 subsample=0.9405 | RMSE: 5.18 | R2: 0.89 | Composite: 0.873 | Validation: WARN | No improvement
