trial_number,model_name,display_name,hyperparameters,selection_status,validation_verdict,error_message,rmse,mae,r2,composite_score,test_rmse,test_mae,test_r2,test_composite_score,validation_pass_rate,failed_count,hard_failed_count,warning_count,suspicious_count,durability_caution_count,dataset_anomaly_count
1,HistGradientBoostingRegressor,HistGradientBoosting,"{""learning_rate"": 0.03581469519842854, ""max_depth"": 3, ""max_leaf_nodes"": 40, ""min_samples_leaf"": 19, ""l2_regularization"": 0.9329804363840617}",no_improvement,WARN,,5.545056637364813,4.255408916933932,0.8784396596824307,0.8611812463404638,5.341738189932203,4.223898351153633,0.8899335470234218,0.8676788336618616,0.2824427480916031,0,0,188,66,188,83
2,HistGradientBoostingRegressor,HistGradientBoosting,"{""learning_rate"": 0.017435870897751903, ""max_depth"": 5, ""max_leaf_nodes"": 21, ""min_samples_leaf"": 15, ""l2_regularization"": 0.0032399913028876132}",no_improvement,WARN,,6.005236779421681,4.691587619669787,0.8574781003909994,0.845929754756855,5.918422736476367,4.712632962441553,0.8648855683328569,0.8492591606202906,0.2824427480916031,0,0,188,68,188,83
3,XGBRegressor,XGBoost,"{""n_estimators"": 350, ""learning_rate"": 0.043203413176990293, ""max_depth"": 8, ""min_child_weight"": 4.539442220870642, ""subsample"": 0.6439525811988809, ""colsample_bytree"": 0.9264532795541052, ""reg_alpha"": 2.3912506885805597e-05, ""reg_lambda"": 0.00392397120915593}",new_best,WARN,,3.786274338944684,2.3719477659158574,0.942858654462275,0.9159856383095252,2.8873747731703165,1.8670530026546353,0.9678414773262982,0.9390276158299435,0.2824427480916031,0,0,188,66,188,82
4,LGBMRegressor,LightGBM,"{""n_estimators"": 150, ""learning_rate"": 0.017567233902640325, ""num_leaves"": 49, ""min_child_samples"": 20, ""subsample"": 0.6730968784607863, ""colsample_bytree"": 0.6717384173564485, ""reg_lambda"": 0.1657210733713911}",no_improvement,WARN,,4.880110821733256,3.6271684337546026,0.905823005518965,0.8823361034366077,4.633864544647727,3.467370968068033,0.9171721395618003,0.8901212289424824,0.2824427480916031,0,0,188,67,188,83
5,LGBMRegressor,LightGBM,"{""n_estimators"": 350, ""learning_rate"": 0.010163399780847033, ""num_leaves"": 25, ""min_child_samples"": 24, ""subsample"": 0.8322957183283843, ""colsample_bytree"": 0.6015518528215695, ""reg_lambda"": 0.0023990558524704525}",no_improvement,WARN,,4.604765980188786,3.3394709524811965,0.9161878225154865,0.8909594052524901,4.276729934999367,3.126893441280284,0.9294473343616902,0.9007708999104658,0.2824427480916031,0,0,188,68,188,84
6,RandomForestRegressor,RandomForest,"{""n_estimators"": 250, ""max_depth"": 6, ""min_samples_split"": 9, ""min_samples_leaf"": 2, ""max_features"": null}",no_improvement,WARN,,5.358276444154766,3.959528838081147,0.8863150728014281,0.8678531752423212,5.225150356225385,3.8485135071801406,0.8946856969476912,0.8728716049748351,0.2824427480916031,0,0,188,66,188,82
7,ExtraTreesRegressor,ExtraTrees,"{""n_estimators"": 600, ""max_depth"": 10, ""min_samples_split"": 7, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}",no_improvement,WARN,,5.245717658176625,3.9443958018770227,0.8912944917752,0.8710221281126594,4.960163258952296,3.737772362841629,0.9050966121164942,0.8803628126752313,0.2824427480916031,0,0,188,67,188,83
8,XGBRegressor,XGBoost,"{""n_estimators"": 350, ""learning_rate"": 0.03669521797270215, ""max_depth"": 3, ""min_child_weight"": 4.7747344116395904, ""subsample"": 0.7997649990470986, ""colsample_bytree"": 0.744186070867579, ""reg_alpha"": 0.00040445316786228173, ""reg_lambda"": 0.23379340045817076}",no_improvement,WARN,,4.155212588360366,3.017190892380177,0.9316860289746918,0.9037783874413073,3.844112142245776,2.8861532521683464,0.9429990792118182,0.9123061396880516,0.2824427480916031,0,0,188,66,188,83
9,ExtraTreesRegressor,ExtraTrees,"{""n_estimators"": 800, ""max_depth"": null, ""min_samples_split"": 4, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}",no_improvement,WARN,,5.0426609347918925,3.7352479554426354,0.899540876890309,0.8775452589957894,4.677420247053665,3.4357801353998867,0.9156077518140824,0.8892152462124792,0.2824427480916031,0,0,188,65,188,81
10,XGBRegressor,XGBoost,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 4.872438356990495, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.01, ""reg_lambda"": 0.007867968441080555}",new_best,WARN,,3.750782810488512,2.4941152022550703,0.9443208248478685,0.9162353913949737,3.078474423604504,2.1470856037916057,0.9634438144049462,0.933427533351548,0.2824427480916031,0,0,188,65,188,81
